INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	SMILES	QSAR_READY_SMILES
100-00-5	CAS-RN	DTXSID5020281	1-Chloro-4-nitrobenzene	[O-][N+](=O)C1=CC=C(Cl)C=C1	[O-][N+](=O)C1=CC=C(Cl)C=C1
100-01-6	CAS-RN	DTXSID8020961	4-Nitroaniline	NC1=CC=C(C=C1)[N+]([O-])=O	NC1=CC=C(C=C1)[N+]([O-])=O
100-02-7	CAS-RN	DTXSID0021834	4-Nitrophenol	OC1=CC=C(C=C1)[N+]([O-])=O	OC1=CC=C(C=C1)[N+]([O-])=O
100-03-8	CAS-RN	DTXSID5024768	4-Chlorobenzenesulphinic acid	OS(=O)C1=CC=C(Cl)C=C1	OS(=O)C1=CC=C(Cl)C=C1
100-06-1	CAS-RN	DTXSID2044347	4'-Methoxyacetophenone	COC1=CC=C(C=C1)C(C)=O	COC1=CC=C(C=C1)C(C)=O
100-14-1	CAS-RN	DTXSID4025745	4-Nitrobenzyl chloride	[O-][N+](=O)C1=CC=C(CCl)C=C1	[O-][N+](=O)C1=CC=C(CCl)C=C1
100-15-2	CAS-RN	DTXSID7025635	N-Methyl-4-nitroaniline	CNC1=CC=C(C=C1)[N+]([O-])=O	CNC1=CC=C(C=C1)[N+]([O-])=O
100-17-4	CAS-RN	DTXSID9059208	p-Nitroanisole	COC1=CC=C(C=C1)[N+]([O-])=O	COC1=CC=C(C=C1)[N+]([O-])=O
100-18-5	CAS-RN	DTXSID2026652	1,4-Diisopropylbenzene	CC(C)C1=CC=C(C=C1)C(C)C	CC(C)C1=CC=C(C=C1)C(C)C
100-20-9	CAS-RN	DTXSID7026653	1,4-Benzenedicarbonyl dichloride	ClC(=O)C1=CC=C(C=C1)C(Cl)=O	ClC(=O)C1=CC=C(C=C1)C(Cl)=O
100-21-0	CAS-RN	DTXSID6026080	Terephthalic acid	OC(=O)C1=CC=C(C=C1)C(O)=O	OC(=O)C1=CC=C(C=C1)C(O)=O
100-28-7	CAS-RN	DTXSID80870440	1-Isocyanato-4-nitro-benzene	[O-][N+](=O)C1=CC=C(C=C1)N=C=O	[O-][N+](=O)C1=CC=C(C=C1)N=C=O
100-29-8	CAS-RN	DTXSID7026655	1-Ethoxy-4-nitrobenzene	CCOC1=CC=C(C=C1)[N+]([O-])=O	CCOC1=CC=C(C=C1)[N+]([O-])=O
100-35-6	CAS-RN	DTXSID8043868	Ethanamine, 2-chloro-N,N-diethyl-	CCN(CC)CCCl	CCN(CC)CCCl
100-36-7	CAS-RN	DTXSID7057606	2-Aminoethyldiethylamine	CCN(CC)CCN	CCN(CC)CCN
100-37-8	CAS-RN	DTXSID5021837	N,N-Diethylethanolamine	CCN(CC)CCO	CCN(CC)CCO
100-40-3	CAS-RN	DTXSID3021437	4-Vinylcyclohexene	C=CC1CCC=CC1	C=CC1CCC=CC1
100-41-4	CAS-RN	DTXSID3020596	Ethylbenzene	CCC1=CC=CC=C1	CCC1=CC=CC=C1
100-42-5	CAS-RN	DTXSID2021284	Styrene	C=CC1=CC=CC=C1	C=CC1=CC=CC=C1
100-43-6	CAS-RN	DTXSID0051499	4-Vinylpyridine	C=CC1=CC=NC=C1	C=CC1=CC=NC=C1
100-44-7	CAS-RN	DTXSID0020153	Benzyl chloride	ClCC1=CC=CC=C1	ClCC1=CC=CC=C1
100-45-8	CAS-RN	DTXSID70861706	3-​Cyclohexene-​1-​carbonitrile	N#CC1CCC=CC1	N#CC1CCC=CC1
100-47-0	CAS-RN	DTXSID7021491	Benzonitrile	N#CC1=CC=CC=C1	N#CC1=CC=CC=C1
100-51-6	CAS-RN	DTXSID5020152	Benzyl alcohol	OCC1=CC=CC=C1	OCC1=CC=CC=C1
100-52-7	CAS-RN	DTXSID8039241	Benzaldehyde	O=CC1=CC=CC=C1	O=CC1=CC=CC=C1
100-53-8	CAS-RN	DTXSID6026664	Benzenemethanethiol	SCC1=CC=CC=C1	SCC1=CC=CC=C1
100-54-9	CAS-RN	DTXSID1026665	3-Pyridinecarbonitrile	N#CC1=CN=CC=C1	N#CC1=CN=CC=C1
100-60-7	CAS-RN	DTXSID3059216	N-Methylcyclohexanamine	CNC1CCCCC1	CNC1CCCCC1
100-61-8	CAS-RN	DTXSID9021841	N-Methylaniline	CNC1=CC=CC=C1	CNC1=CC=CC=C1
100-63-0	CAS-RN	DTXSID8021147	Phenylhydrazine	NNC1=CC=CC=C1	NNC1=CC=CC=C1
100-65-2	CAS-RN	DTXSID3025889	N-Phenylhydroxylamine	ONC1=CC=CC=C1	ONC1=CC=CC=C1
100-66-3	CAS-RN	DTXSID4041608	Anisole	COC1=CC=CC=C1	COC1=CC=CC=C1
100-68-5	CAS-RN	DTXSID8059217	Benzene, (methylthio)-	CSC1=CC=CC=C1	CSC1=CC=CC=C1
100-69-6	CAS-RN	DTXSID1026667	2-Vinylpyridine	C=CC1=NC=CC=C1	C=CC1=NC=CC=C1
100-72-1	CAS-RN	DTXSID40870441	(Oxan-2-yl)methanol	OCC1CCCCO1	OCC1CCCCO1
100-73-2	CAS-RN	DTXSID30274151	3,4-Dihydro-2H-pyran-2-carbaldehyde	O=CC1CCC=CO1	O=CC1CCC=CO1
100-74-3	CAS-RN	DTXSID5025312	N-Ethylmorpholine	CCN1CCOCC1	CCN1CCOCC1
100-75-4	CAS-RN	DTXSID8021060	N-Nitrosopiperidine	O=NN1CCCCC1	O=NN1CCCCC1
100-76-5	CAS-RN	DTXSID2057607	Quinuclidine	C1CN2CCC1CC2	C1CN2CCC1CC2
100-79-8	CAS-RN	DTXSID9021845	Solketal	CC1(C)OCC(CO)O1	CC1(C)OCC(CO)O1
100-86-7	CAS-RN	DTXSID1047601	1,1-Dimethylphenylethanol	CC(C)(O)CC1=CC=CC=C1	CC(C)(O)CC1=CC=CC=C1
100-87-8	CAS-RN	DTXSID2059221	Benzenemethanesulfonic acid	OS(=O)(=O)CC1=CC=CC=C1	OS(=O)(=O)CC1=CC=CC=C1
100-88-9	CAS-RN	DTXSID5041809	Cyclamic acid	OS(=O)(=O)NC1CCCCC1	OS(=O)(=O)NC1CCCCC1
100-89-0	CAS-RN	DTXSID30861707	Tri(2-methyl-2,4-pentanediol)biborate	CC(CC(C)(C)OB1OC(C)CC(C)(C)O1)OB1OC(C)CC(C)(C)O1	CC(CC(C)(C)OB1OC(C)CC(C)(C)O1)OB1OC(C)CC(C)(C)O1
100-95-8	CAS-RN	DTXSID20878647	Dodecarbonium Chloride	[Cl-].CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC1=CC=CC=C1	CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC1=CC=CC=C1
100-97-0	CAS-RN	DTXSID6020692	Methenamine	C1N2CN3CN1CN(C2)C3	C1N2CN3CN1CN(C2)C3
1000-70-0	CAS-RN	DTXSID0061379	Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-	C[Si](C)(C)N=C=N[Si](C)(C)C	C[Si](C)(C)N=C=N[Si](C)(C)C
10004-44-1	CAS-RN	DTXSID3032622	Hymexazol	CC1=CC(=O)NO1	CC1=CC(=O)NO1
100093-45-6	CAS-RN	DTXSID90142928	Benzoic acid, 2,2'-((2-((3,4-dimethoxyphenyl)methylene)-1,3-dioxo-1,3-propanediyl)diimino)bis-	COC1=C(OC)C=C(C=C(C(=O)NC2=CC=CC=C2C(O)=O)C(=O)NC2=CC=CC=C2C(O)=O)C=C1	COC1=C(OC)C=C(C=C(C(=O)NC2=CC=CC=C2C(O)=O)C(=O)NC2=CC=CC=C2C(O)=O)C=C1
1001-55-4	CAS-RN	DTXSID00142939	(Acetyloxy)acetonitrile	CC(=O)OCC#N	CC(=O)OCC#N
1001354-72-8	CAS-RN	DTXSID80889259	4-Octanol, 3-amino-	CCCCC(O)C(N)CC	CCCCC(O)C(N)CC
10017-11-5	CAS-RN	DTXSID60872280	Allylamine hydrochloride (1:1)	Cl.NCC=C	NCC=C
10018-78-7	CAS-RN	DTXSID40905242	4-(Cyclohexyloxy)-4-oxobutanoic acid	OC(=O)CCC(=O)OC1CCCCC1	OC(=O)CCC(=O)OC1CCCCC1
100199-60-8	CAS-RN	DTXSID20143004	Benzenemethanol, 4-(2-(1H-imidazol-1-yl)ethoxy)-	OCC1=CC=C(OCCN2C=CN=C2)C=C1	OCC1=CC=C(OCCN2C=CN=C2)C=C1
100217-51-4	CAS-RN	DTXSID20143024	1-Phthalazinamine, N-(1-ethylpropyl)-4-phenyl-	CCC(CC)NC1=NN=C(C2=CC=CC=C2)C2=CC=CC=C12	CCC(CC)NC1=NN=C(C2=CC=CC=C2)C2=CC=CC=C12
10022-60-3	CAS-RN	DTXSID8073134	Di(2-ethylbutyl) adipate	CCC(CC)COC(=O)CCCCC(=O)OCC(CC)CC	CCC(CC)COC(=O)CCCCC(=O)OCC(CC)CC
100237-68-1	CAS-RN	DTXSID00143047	1-Phthalazinamine, N-(2,2-dimethylpropyl)-4-phenyl-	CC(C)(C)CNC1=NN=C(C2=CC=CC=C2)C2=CC=CC=C12	CC(C)(C)CNC1=NN=C(C2=CC=CC=C2)C2=CC=CC=C12
10024-70-1	NO_MATCH	-	-	-	-
10024-78-9	CAS-RN	DTXSID80905286	5-Ethylnonan-2-amine	CCCCC(CC)CCC(C)N	CCCCC(CC)CCC(C)N
10024-89-2	CAS-RN	DTXSID40905287	Morpholine--hydrogen chloride (1/1)	Cl.C1COCCN1	C1COCCN1
100242-41-9	NO_MATCH	-	-	-	-
100286-90-6	CAS-RN	DTXSID6045953	Irinotecan hydrochloride	Cl.CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12	CCC1=C2C=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)C2(O)CC)C1=O
10029-04-6	CAS-RN	DTXSID00143108	Acrylic acid, 2-(hydroxymethyl)-, ethyl ester	CCOC(=O)C(=C)CO	CCOC(=O)C(=C)CO
100299-08-9	CAS-RN	DTXSID7046623	Pemirolast potassium	[K+].CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=N[N-]1	CC1=CC=CN2C(=O)C(=CN=C12)C1=NN=NN1
1003-14-1	CAS-RN	DTXSID40883637	Oxirane, 2-propyl-	CCCC1CO1	CCCC1CO1
1003-40-3	CAS-RN	DTXSID70143115	Pyridine, 4-amino-, hydrochloride	Cl.NC1=CC=NC=C1	NC1=CC=NC=C1
1003-52-7	CAS-RN	DTXSID90143117	4-Methyloxazole-5-carbonitrile	CC1=C(OC=N1)C#N	CC1=C(OC=N1)C#N
10031-58-0	CAS-RN	DTXSID80905347	5-Ethyl-2-methyl-1-(5,5,7,7-tetramethyloctan-2-yl)pyridin-1-ium chloride	[Cl-].CCC1=C[N+](C(C)CCC(C)(C)CC(C)(C)C)=C(C)C=C1	CCC1=C[N+](C(C)CCC(C)(C)CC(C)(C)C)=C(C)C=C1
10031-82-0	CAS-RN	DTXSID7022251	p-Ethoxybenzaldehyde	[H]C(=O)C1=CC=C(OCC)C=C1	[H]C(=O)C1=CC=C(OCC)C=C1
10031-96-6	CAS-RN	DTXSID50143133	Eugenyl formate	COC1=C(OC=O)C=CC(CC=C)=C1	COC1=C(OC=O)C=CC(CC=C)=C1
10032-13-0	CAS-RN	DTXSID4064921	Butanoic acid, 3-methyl-, hexyl ester	CCCCCCOC(=O)CC(C)C	CCCCCCOC(=O)CC(C)C
10032-15-2	CAS-RN	DTXSID4047599	Hexyl 2-methylbutanoate	CCCCCCOC(=O)C(C)CC	CCCCCCOC(=O)C(C)CC
100330-91-4	CAS-RN	DTXSID60143169	Quinazopyrine	CN1N(C(C)=C(NC2=NC=NC3=CC=CC=C23)C1=O)C1=CC=CC=C1	CC1N(N(C)C(=O)C1=NC1=C2C=CC=CC2=NC=N1)C1=CC=CC=C1
100365-72-8	CAS-RN	DTXSID10143235	1H-Pyrazole-1-carboxamide, 3(or 5)-methyl-	CC1=NN(C=C1)C(N)=O	CC1=NN(C=C1)C(N)=O
1003859-14-0	CAS-RN	DTXSID50893606	N-[(6-Chloro-3-pyridinyl)methyl]-2,2-difluoroethanamine	FC(F)CNCC1=CC=C(Cl)N=C1	FC(F)CNCC1=CC=C(Cl)N=C1
10040-45-6	CAS-RN	DTXSID7048663	Picosulfate sodium	[Na+].[Na+].[O-]S(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS([O-])(=O)=O)C=C1)C1=CC=CC=N1	OS(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS(O)(=O)=O)C=C1)C1=CC=CC=N1
100402-60-6	CAS-RN	DTXSID10143255	d-Glucose, ether with glycerol	OCC(O)CO.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)C=O	OCC(O)C(O)C(O)C(OC(C=O)C(O)C(O)C(O)CO)C=O
10042-77-0	CAS-RN	DTXSID80143262	Sulfamic acid, 2-aminoethyl ester	NCCOS(N)(=O)=O	NCCOS(N)(=O)=O
10043-18-2	CAS-RN	DTXSID10905491	3-(2-Butoxyethoxy)propan-1-ol	CCCCOCCOCCCO	CCCCOCCOCCCO
10048-13-2	CAS-RN	DTXSID2021280	Sterigmatocystin	COC1=C2C(=O)C3=C(O)C=CC=C3OC2=C2C3C=COC3OC2=C1	COC1=C2C(=O)C3=C(O)C=CC=C3OC2=C2C3C=COC3OC2=C1
100482-70-0	CAS-RN	DTXSID10143331	Butylamine, N,N-bis(2-chloroethyl)-4-chloro-, N-oxide, hydrochloride	Cl.[O-][N+](CCCl)(CCCl)CCCCCl	[O-][N+](CCCl)(CCCl)CCCCCl
10049-60-2	CAS-RN	DTXSID90905550	Butan-2-amine--hydrogen chloride (1/1)	Cl.CCC(C)N	CCC(C)N
10049-83-9	CAS-RN	DTXSID1046550	Pyrithioxin dihydrochloride	Cl.Cl.CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1	CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1
1005-67-0	CAS-RN	DTXSID5044499	4-Butylmorpholine	CCCCN1CCOCC1	CCCCN1CCOCC1
1005-93-2	CAS-RN	DTXSID5058270	Etbicyphat	CCC12COP(=O)(OC1)OC2	CCC12COP(=O)(OC1)OC2
100537-30-2	CAS-RN	DTXSID30143373	Phthalazine, 1-phenoxy-	O(C1=CC=CC=C1)C1=NN=CC2=CC=CC=C12	O(C1=CC=CC=C1)C1=NN=CC2=CC=CC=C12
10058-07-8	CAS-RN	DTXSID90143399	Pimefylline nicotinate	OC(=O)C1=CN=CC=C1.CN1C2=C(N(CCNCC3=CN=CC=C3)C=N2)C(=O)N(C)C1=O	CN1C2=C(N(CCNCC3=CN=CC=C3)C=N2)C(=O)N(C)C1=O
10058-20-5	CAS-RN	DTXSID40143400	Succinic acid, bis(2-(hexyloxy)ethyl) ester	CCCCCCOCCOC(=O)CCC(=O)OCCOCCCCCC	CCCCCCOCCOC(=O)CCC(=O)OCCOCCCCCC
100596-38-1	CAS-RN	DTXSID10143417	1,3-Benzenedicarboxylic acid, 5-(2-amino-4-(methoxycarbonyl)phenoxy)-, dimethyl ester	COC(=O)C1=CC(N)=C(OC2=CC(=CC(=C2)C(=O)OC)C(=O)OC)C=C1	COC(=O)C1=CC(N)=C(OC2=CC(=CC(=C2)C(=O)OC)C(=O)OC)C=C1
